TimeStamp;baseValue
638751422569411891;42256.67
638751422569904648;41605.73
638751422570413251;36721.13
638751422570917247;36721.13
638751422571411640;36721.13
638751422571913079;42764.27
638751422572410487;42764.27
638751422572924967;42764.27
638751422573420393;37493.07
638751422573918309;39253.2
638751422574423091;39253.2
638751422574921317;39253.2
638751422575424095;35941.46
638751422575926479;35941.46
638751422576424920;35941.46
638751422576929708;35754.54
638751422577423958;35179.46
638751422577927124;35179.46
638751422578421172;35179.46
638751422578924306;42862.67
638751422681068109;35994.93
638751422681571957;35994.93
638751422682070734;36639.27
638751422682566730;40316.87
638751422683069398;40316.87
638751422683562883;43493.6
638751422684066351;36235.8
638751422684578918;36235.8
638751422685077900;36235.8
638751422685572369;40054.6
638751422686071743;41600.27
638751422686586053;41600.27
638751422687096581;41600.27
638751422687596061;38703.07
638751422688096760;38703.07
638751422688599127;38703.07
638751422689096829;36333.87
638751422689598240;37849.33
638751422690096215;37849.33
638751422690599579;34926.87
638751422691096883;34926.87
638751422691599444;34926.87
638751422692097758;35899.93
638751422692597113;35899.93
638751422693099641;35899.93
638751422693598120;35832.93
638751422694096418;35832.93
638751422694598935;35832.93
638751422695097375;34622.0
638751422695590861;41224.0
638751422696099253;41224.0
638751422696597295;37316.8
638751422697100531;35255.6
638751422697597890;35255.6
638751422698096923;35255.6
638751422698600638;36943.54
638751422699098741;38040.73
638751422699597581;38040.73
638751422700097488;38040.73
638751422700596807;38982.4
638751422701097624;38982.4
638751422701599473;38982.4
638751422702100571;35698.4
638751422702600565;36635.46
638751422703100879;36635.46
638751422703601908;36164.87
638751422704101065;36164.87
638751422704606800;36164.87
638751422705102785;34470.27
638751422705598755;34470.27
638751422706111740;34470.27
638751422707110319;41113.6
638751422707612100;41113.6
638751422708107935;41113.6
638751424083646774;37620.54
638751424084141425;37620.54
638751424084647227;37620.54
638751424085149321;41122.93
638751424085647948;41122.93
638751424086150344;41122.93
638751424086644799;39479.87
638751424087144093;39479.87
638751424087650683;39372.13
638751424088143936;35076.93
638751424088653754;37836.0
638751424089149823;37836.0
638751424089658227;36909.6
638751424090161948;37740.27
638751424090653439;37740.27
638751424091167228;37740.27
638751424091665640;34349.87
638751424092162129;34349.87
638751424092667339;34349.87
638751424093163780;36241.73
638751424093665621;41755.6
638751424094167369;41755.6
638751424094662805;41755.6
638751424095158614;36242.93
638751424096661951;38756.8
638751424097168481;36012.54
638751424097664156;36012.54
638751424098163956;36012.54
638751424098670081;38687.33
638751424099172160;38687.33
638751424099673075;38687.33
638751424100181649;38584.13
638751424100681775;42324.27
638751424101171893;42324.27
638751424101677655;42324.27
638751424102176133;42324.27
638751424102678923;38244.13
638751424103178089;38244.13
638751424103671981;38244.13
638751424104177345;35386.93
638751424107677371;35279.33
638751424108191786;35279.33
638751424108694834;34536.27
638751424109186270;35763.87
638751424109689868;35763.87
638751424110189007;35763.87
638751424110690903;37837.6
638751424111195144;37837.6
638751424111693377;37837.6
638751424112191744;42506.0
638751424112693394;43035.87
638751424113278093;43035.87
638751424113704046;43035.87
638751424114194629;42389.07
638751424114701251;42389.07
638751424115197538;42389.07
638751424115696118;34732.0
638751424116202476;36183.2
638751424116699498;36183.2
638751424117201318;36183.2
638751424117702474;41643.33
638751424118199120;41643.33
638751424118710475;41643.33
638751424119208258;38633.2
638751424119706937;38633.2
638751424120207274;38633.2
638751424120709176;42540.27
638751424121206640;39492.8
638751424121712230;39492.8
638751424122207631;39492.8
638751424122710733;36007.2
638751424244230530;36571.33
638751424244735140;34748.27
638751424245232334;34748.27
638751424245734537;36663.73
638751424246238956;39482.07
638751424246734524;39482.07
638751424247239753;39482.07
638751424247732835;40889.27
638751424248240191;41562.13
638751424248739911;41562.13
638751424249234999;41562.13
638751424249738406;37552.54
638751424250237229;38591.73
